Methods,Ratio,Network,Scientists,Time,Neutral,Method A,Method B,Method C,Check
3,0.200,Wheel,10,400,0.000,0.000,0.900,0.100,1.000
3,0.200,Wheel,20,250,0.000,0.000,1.000,0.000,1.000
3,0.200,Wheel,30,500,0.000,0.000,0.950,0.050,1.000
3,0.200,Wheel,50,20000,0.000,0.025,0.925,0.050,1.000
3,0.200,Wheel,75,14000,0.000,0.050,0.750,0.200,1.000
3,0.200,Wheel,100,9000,0.000,0.025,0.350,0.625,1.000
2,0.050,Small-World,0,0,1.000,0.000,0.000,None,1.000
2,0.050,Small-World,10,100,0.000,0.800,0.200,None,1.000
2,0.050,Small-World,20,200,0.000,0.800,0.200,None,1.000
2,0.050,Small-World,30,12000,0.000,0.875,0.125,None,1.000
2,0.050,Small-World,50,8000,0.000,0.300,0.700,None,1.000
2,0.050,Small-World,75,5000,0.000,0.175,0.825,None,1.000
2,0.050,Small-World,100,5000,0.000,0.050,0.950,None,1.000
2,0.050,Complete,0,0,1.000,0.000,0.000,None,1.000
2,0.050,Complete,10,100,0.000,0.825,0.175,None,1.000
2,0.050,Complete,20,150,0.000,0.900,0.100,None,1.000
2,0.050,Complete,30,200,0.000,0.925,0.075,None,1.000
2,0.050,Complete,50,6000,0.000,0.550,0.450,None,1.000
2,0.050,Complete,75,3000,0.000,0.200,0.800,None,1.000
2,0.050,Complete,100,3000,0.000,0.050,0.950,None,1.000
2,0.050,Cycle,0,0,1.000,0.000,0.000,None,1.000
2,0.050,Cycle,10,200,0.000,0.800,0.200,None,1.000
2,0.050,Cycle,20,4000,0.000,0.500,0.500,None,1.000
2,0.050,Cycle,30,9000,0.000,0.400,0.600,None,1.000
2,0.050,Cycle,50,13000,0.000,0.100,0.900,None,1.000
2,0.050,Cycle,75,20000,0.000,0.075,0.925,None,1.000
2,0.050,Cycle,100,30000,0.000,0.050,0.950,None,1.000
2,0.050,Wheel,0,0,1.000,0.000,0.000,None,1.000
2,0.050,Wheel,10,150,0.000,0.800,0.200,None,1.000
2,0.050,Wheel,20,200,0.000,1.000,0.000,None,1.000
2,0.050,Wheel,30,250,0.000,1.000,0.000,None,1.000
2,0.050,Wheel,50,6000,0.000,0.700,0.300,None,1.000
2,0.050,Wheel,75,6000,0.000,0.600,0.400,None,1.000
2,0.050,Wheel,100,4000,0.000,0.600,0.400,None,1.000
2,0.125,Small-World,0,0,1.000,0.000,0.000,None,1.000
2,0.125,Small-World,10,150,0.000,0.800,0.200,None,1.000
2,0.125,Small-World,20,200,0.000,0.850,0.150,None,1.000
2,0.125,Small-World,30,10000,0.000,0.800,0.200,None,1.000
2,0.125,Small-World,50,6000,0.000,0.050,0.950,None,1.000
2,0.125,Small-World,75,4000,0.000,0.050,0.950,None,1.000
2,0.125,Small-World,100,5000,0.000,0.000,1.000,None,1.000
2,0.125,Complete,0,0,1.000,0.000,0.000,None,1.000
2,0.125,Complete,10,150,0.000,0.650,0.350,None,1.000
2,0.125,Complete,20,200,0.000,0.800,0.200,None,1.000
2,0.125,Complete,30,500,0.000,0.825,0.175,None,1.000
2,0.125,Complete,50,6000,0.000,0.550,0.450,None,1.000
2,0.125,Complete,75,3000,0.000,0.300,0.700,None,1.000
2,0.125,Complete,100,4000,0.000,0.000,1.000,None,1.000
2,0.125,Cycle,0,0,1.000,0.000,0.000,None,1.000
2,0.125,Cycle,10,200,0.000,0.750,0.250,None,1.000
2,0.125,Cycle,20,2000,0.000,0.450,0.550,None,1.000
2,0.125,Cycle,30,4000,0.000,0.100,0.900,None,1.000
2,0.125,Cycle,50,10000,0.000,0.100,0.900,None,1.000
2,0.125,Cycle,75,17000,0.000,0.000,1.000,None,1.000
2,0.125,Cycle,100,26000,0.000,0.000,1.000,None,1.000
2,0.125,Wheel,0,0,1.000,0.000,0.000,None,1.000
2,0.125,Wheel,10,150,0.000,0.900,0.100,None,1.000
2,0.125,Wheel,20,300,0.000,0.900,0.100,None,1.000
2,0.125,Wheel,30,300,0.000,0.900,0.100,None,1.000
2,0.125,Wheel,50,5000,0.000,0.900,0.100,None,1.000
2,0.125,Wheel,75,4000,0.000,0.625,0.375,None,1.000
2,0.125,Wheel,100,3000,0.000,0.750,0.250,None,1.000
2,0.200,Small-World,0,0,1.000,0.000,0.000,None,1.000
2,0.200,Small-World,10,150,0.000,0.825,0.175,None,1.000
2,0.200,Small-World,20,250,0.000,0.700,0.300,None,1.000
2,0.200,Small-World,30,2000,0.000,0.200,0.800,None,1.000
2,0.200,Small-World,50,2000,0.000,0.100,0.900,None,1.000
2,0.200,Small-World,75,2000,0.000,0.175,0.825,None,1.000
2,0.200,Small-World,100,3000,0.000,0.000,1.000,None,1.000
2,0.200,Complete,0,0,1.000,0.000,0.000,None,1.000
2,0.200,Complete,10,150,0.000,0.900,0.100,None,1.000
2,0.200,Complete,20,1800,0.000,0.800,0.200,None,1.000
2,0.200,Complete,30,1500,0.000,0.550,0.450,None,1.000
2,0.200,Complete,50,2000,0.000,0.200,0.800,None,1.000
2,0.200,Complete,75,1500,0.000,0.050,0.950,None,1.000
2,0.200,Complete,100,2000,0.000,0.000,1.000,None,1.000
2,0.200,Cycle,0,0,1.000,0.000,0.000,None,1.000
2,0.200,Cycle,10,400,0.000,0.600,0.400,None,1.000
2,0.200,Cycle,20,750,0.000,0.200,0.800,None,1.000
2,0.200,Cycle,30,2000,0.000,0.050,0.950,None,1.000
2,0.200,Cycle,50,5000,0.000,0.000,1.000,None,1.000
2,0.200,Cycle,75,12000,0.000,0.000,1.000,None,1.000
2,0.200,Cycle,100,17000,0.000,0.000,1.000,None,1.000
2,0.200,Wheel,0,0,1.000,0.000,0.000,None,1.000
2,0.200,Wheel,10,150,0.000,0.650,0.350,None,1.000
2,0.200,Wheel,20,400,0.000,0.700,0.300,None,1.000
2,0.200,Wheel,30,1000,0.000,0.900,0.100,None,1.000
2,0.200,Wheel,50,2000,0.000,0.650,0.350,None,1.000
2,0.200,Wheel,75,2500,0.000,0.450,0.550,None,1.000
2,0.200,Wheel,100,2000,0.000,0.250,0.750,None,1.000
